0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:48:37 +0200] "GET /ticket-app/zkau/web/_zv2017103111/js/zul.inp.wpd HTTP/1.1" 200 19154
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:48:37 +0200] "GET /ticket-app/zkau/web/_zv2017103111/js/zul.mesh.wpd HTTP/1.1" 200 19766
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:48:39 +0200] "GET /ticket-app/zkau/web/_zv2017103111/js/zk.fmt.wpd HTTP/1.1" 200 2690
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:48:39 +0200] "GET /ticket-app/zkau/web/_zv2017103111/js/zul.menu.wpd HTTP/1.1" 200 7992
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:48:41 +0200] "GET /ticket-app/zkau/web/a8c4997f/zul/less/font/ZK85Icons.woff?v=4.3.0 HTTP/1.1" 200 9904
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:48:44 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:48:45 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:48:46 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:49:34 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:49:50 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:49:51 +0200] "GET /ticket-app/adminPage.zul HTTP/1.1" 200 1492
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:49:52 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:49:52 +0200] "GET /ticket-app/js/jquery.min.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:49:52 +0200] "GET /ticket-app/js/popper.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:49:52 +0200] "GET /ticket-app/js/bootstrap.min.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:49:52 +0200] "GET /ticket-app/js/main.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:50:16 +0200] "GET /ticket-app/issueList.zul HTTP/1.1" 200 3475
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:50:16 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:53:15 +0200] "GET /ticket-app/reportIssueByDepartment.zul HTTP/1.1" 200 3749
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:53:15 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:53:16 +0200] "GET /ticket-app/zkau/web/_zv2017103111/js/chart.wpd HTTP/1.1" 200 77494
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:53:31 +0200] "GET /ticket-app/staffList.zul HTTP/1.1" 200 3486
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:53:31 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:54:00 +0200] "GET /ticket-app/createdIssueList.zul HTTP/1.1" 200 3405
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:54:21 +0200] "GET /ticket-app/createdIssueList.zul HTTP/1.1" 200 3402
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:54:24 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:55:07 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:55:34 +0200] "GET /ticket-app/saveIssue.zul HTTP/1.1" 200 2832
0:0:0:0:0:0:0:1 - - [03/Jun/2022:09:55:34 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:05:23 +0200] "GET /ticket-app/saveIssue.zul HTTP/1.1" 200 2063
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:05:31 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [03/Jun/2022:10:06:01 +0200] "GET /ticket-app/issueList.zul HTTP/1.1" 200 2696
