0:0:0:0:0:0:0:1 - - [10/May/2022:11:18:34 +0200] "GET /ticket-app/assets/vendor/bootstrap-icons/fonts/bootstrap-icons.woff2?a74547b2f0863226942ff8ded57db345 HTTP/1.1" 200 92004
0:0:0:0:0:0:0:1 - - [10/May/2022:11:18:37 +0200] "GET /favicon.ico HTTP/1.1" 404 762
0:0:0:0:0:0:0:1 - - [10/May/2022:11:20:24 +0200] "GET /ticket-app/login.zul HTTP/1.1" 200 1411
0:0:0:0:0:0:0:1 - - [10/May/2022:11:20:25 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [10/May/2022:11:20:29 +0200] "GET /ticket-app/zkau/web/_zv2017103111/js/zul.wnd.wpd HTTP/1.1" 200 11470
0:0:0:0:0:0:0:1 - - [10/May/2022:11:20:29 +0200] "GET /ticket-app/zkau/web/_zv2017103111/js/zul.box.wpd HTTP/1.1" 200 8779
0:0:0:0:0:0:0:1 - - [10/May/2022:11:20:29 +0200] "GET /ticket-app/zkau/web/_zv2017103111/js/zul.grid.wpd HTTP/1.1" 200 5378
0:0:0:0:0:0:0:1 - - [10/May/2022:11:20:29 +0200] "GET /ticket-app/zkau/web/_zv2017103111/js/zul.inp.wpd HTTP/1.1" 200 19154
0:0:0:0:0:0:0:1 - - [10/May/2022:11:20:30 +0200] "GET /ticket-app/zkau/web/_zv2017103111/js/zk.fmt.wpd HTTP/1.1" 200 2690
0:0:0:0:0:0:0:1 - - [10/May/2022:11:20:30 +0200] "GET /ticket-app/zkau/web/_zv2017103111/js/zul.mesh.wpd HTTP/1.1" 200 19766
0:0:0:0:0:0:0:1 - - [10/May/2022:11:20:30 +0200] "GET /ticket-app/zkau/web/_zv2017103111/js/zul.menu.wpd HTTP/1.1" 200 7992
0:0:0:0:0:0:0:1 - - [10/May/2022:11:20:32 +0200] "GET /ticket-app/zkau/web/a8c4997f/zul/less/font/ZK85Icons.woff?v=4.3.0 HTTP/1.1" 200 9904
0:0:0:0:0:0:0:1 - - [10/May/2022:11:20:40 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [10/May/2022:11:21:00 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 17
0:0:0:0:0:0:0:1 - - [10/May/2022:11:21:14 +0200] "POST /ticket-app/zkau HTTP/1.1" 200 64
0:0:0:0:0:0:0:1 - - [10/May/2022:11:21:16 +0200] "GET /ticket-app/adminPage.zul HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [10/May/2022:11:21:16 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [10/May/2022:11:21:16 +0200] "GET /ticket-app/js/jquery.min.js HTTP/1.1" 404 786
0:0:0:0:0:0:0:1 - - [10/May/2022:11:21:16 +0200] "GET /ticket-app/js/popper.js HTTP/1.1" 404 782
0:0:0:0:0:0:0:1 - - [10/May/2022:11:21:17 +0200] "GET /ticket-app/js/bootstrap.min.js HTTP/1.1" 404 789
0:0:0:0:0:0:0:1 - - [10/May/2022:11:21:17 +0200] "GET /ticket-app/js/main.js HTTP/1.1" 404 780
0:0:0:0:0:0:0:1 - - [10/May/2022:11:23:33 +0200] "GET /ticket-app/staffList.zul HTTP/1.1" 200 3483
0:0:0:0:0:0:0:1 - - [10/May/2022:11:23:33 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [10/May/2022:11:24:14 +0200] "GET /ticket-app/adminPage.zul HTTP/1.1" 200 1485
0:0:0:0:0:0:0:1 - - [10/May/2022:11:24:39 +0200] "GET /ticket-app/createdIssueList.zul HTTP/1.1" 200 2770
0:0:0:0:0:0:0:1 - - [10/May/2022:11:24:40 +0200] "GET /ticket-app/zkau/web/a8c4997f/js/zul.lang.wpd HTTP/1.1" 200 1540
0:0:0:0:0:0:0:1 - - [10/May/2022:11:24:44 +0200] "GET /ticket-app/zkau/web/a8c4997f/zul/img/msgbox/stop-btn.png HTTP/1.1" 200 341
